ID,URL,Title,Summary
11,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-Submission_UNFPA.pdf,"Submission by UNFPA (part II), April 2023PDF","The prevalence of online violence against women is at a staggering 38%. According to Plan International, 58% of young women aged 15-25 had experienced online harassment. 42% of women in politics have been subject to image-based abuse or defamation. UNESCO found 73% of journalists had been subjected to online violence. The Global Digital Compact is working with the Government and private technology companies to ensure gender equity in digital technologies. It's important to include gender inclusive user testing and data privacy considerations in the ideation phase of the design phase."
12,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/Germany_GDC-ConsultationAfrica_Report.pdf,"Submission from multistakeholder Africa consultations facilitated by the Government of Germany and the Government of Kenya, January 2023PDF","The conference will take place in Nairobi, Kenya between 5-6 December 2022. Participants include UN Secretary-General’s Envoy on Technology, Eng. Daniel O. Obam, the Communications Secretary at the National Communications Secretariat, Edwin Owalo, the Cabinet Secretary, Mr. Sebastian Groth and Ms. Nnenna Nwakanma. The Global Digital Compact is set to be agreed upon at the Summit of the Future in September 2024. Africa's digital economy is projected to be worth US$180B by 2025. The first day of the conference was closed by the moderators. Participants met for a joint dinner and a networking session in the hotel. Participants split into the same groups and worked on the guiding questions and the key messages. The group advocates for efforts to address the root causes of internet fragmentation, promote cooperati on to increase trust in the internet, and preserve and strengthen the multi-stakeholder model of internet governance. The 2030 Agenda is not on track as corruption, poor project design, and lack of buy-in are derailing the sustainability of programs. The GDC Africa consultations held in Nairobi, Kenya, marked the beginning of the other regional consultations that will follow in Mexico in February 2023 and in India in March 2023. There is a need for a framework on digital diplomacy and fostering cooperation between African governments, private sector and governments. Côte d’Ivoire, Kenya and Cameroon can take actions to work toward an open, free and secure Internet, discuss how data protection can be strengthened at a continental level."
13,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/230203_Alliance_for_Universal_Digital_Rights.pdf,"Submission by the Alliance for Universal Digital Rights, January 2023PDF","The Alliance for Universal Digital Rights (AUDRi) was formed in 2022 by two international gender equality and advocacy organizations, Equality Now and Women Leading in AI. AUDRi is calling for the adoption of a universal digital rights framework, rooted in human rights law and underpinned by an intersectional feminist, anti-discrimination analysis. Everyone has a right to control information about themselves and to secure protection from digital harms. States must protect citizens from online abuse, misogyny, and hate crime. The right to private data sharing with third parties should be limited to what is reasonable and proportionate."
14,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-input-JBI.pdf,"Submission by the Jacob Blaustein Institute for the Advancement of Human Rights, February 2023PDF","The Jacob Blaustein Institute for the Advancement of Human Rights sends a submission on the Global Digital Compact. They want the Compact to address the negative human rights impacts of online expression, including those resulting from the spread and amplification of misinformation, disinformation, and hate speech. This subject should be the subject of at least one of the deep dives. The Compact urges social media and technology companies to take affirmative efforts to prohibit harmful content, including antisemitic content and Holocaust and genocide denial denial denial."
15,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_USCIB.pdf,"Submission by the United States Council for International Business, February 2023PDF","The U.S. Council for International Business supports the Global Digital Compact as part of Our Common Agenda. USCIB supports the free flow of data and information across borders to promote the open, inter connected, and interoperable Internet. The UN Secretary-General proposes to include Internet fragmentation as a policy topic in the General Discussion of the Global Governance Forum. The OECD recommends the Council of the Council o n Children in the Digital Env ironmen. The USCIB does not believe that the government should get involved in the regulation of AI."
16,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission-CSA_GCR.pdf,"Submission by the Cloud Security Alliance Greater China Region (CSA GCR), February 2023PDF","TheGlobalDigitalContract provides all internationalcooperations withacommon for an open, free and securedigital future. CSAGCR proposes a digital security framework and provides recommendations on standards, cooperation, rights and interests, and applications. The InternationalCloudSecurityAllianceGreaterChinaRegion was registered in Hong Kong in 2016 and registered in China in 21st. The institute has more than 6,000 research results, 60000 registered experts, 13,000 community professionals, and more than 12 research groups."
17,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_German-Youth-IGF.pdf,"Submission by the Youth IGF Germany, February 2023PDF","The Global Digital Compact aims to connect all people to the internet. Internet shutdowns should be condemned in the strongest possible terms. Everyone has the right to fast, affordable, reliable and stable internet access. Internet access via mobile data must be affordable so that prices$ only account for a reasonable proportion of the monthly income. The international community must advocate for a global minimum internet speed standard of 16 Mbps to enable working and learning online. Children and young people must learn how to use the Internet safely at school. The Internet Governance Forum promotes the regulation of artificial intelligence. The use of privacy-friendly cookies must be made a mandatory default setting for websites. Children and young people should be allowed to have a say in what happens to their data from a certain age. The European norms should not be assumed as superior or ""superior"" or ""gold standard"" for data protection, but other cultural norms and approaches should also be considered. Data protection must not be used as a political tool to inhibit civil society."
18,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_A-Lee.pdf,"Submission by Ahreum Lee, February 2023PDF",Ahreum Lee's PhD thesis is on the need for new legal measures for the protection of rights in the digital space. Lee is a Human Rights Officer at the U.N. Office of the High Commissioner for Human Rights. The study finds that the protection offered in the existing human right framework is not sufficient to answer the question whether the existing legal measures sufficiently address the impact of the impact on human right protection brought about ICTs. There are gaps relating to protection of human rights online.
19,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Fabian-Luetz.pdf,"Submission by Fabian Luetz, February 2023PDF","Fabian Luetz, Maître en droit (Paris), LL.M. (Bruges), presents a contribution on Human Rights, Discrimination, and the Regulation of AI for the Global Digital Compact. New York City has adopted a law addressing the impacts of automated systems in the area of employment. CEDAW is preparing for recommendation on the e qual and inclusive representation of women in decision-making systems. There is a digital gender divide between women and men. Governments, AI companies and civil society should commit to accountability and transparency into the development of algorithms."
20,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_IEC.pdf,"Submission by the International Electrotechnical Commission (IEC), March 2023PDF","The International Electrotechnical Commission is a global, non-profit membership organization that brings together more than 170 countries and coordinates the work of over 30 000 experts. The IEC has published more than 10 000 International Standards in many different areas of technology. They help limit inappropriate use of facial recognition and biometrics, facilitate access to technologies by people with disabilities and protect critical infrastructure and information technology from cyber attacks. They also help governments and regulators to build systems and infrastructure that are interoperable and easier to maintain and repair."
21,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Concordia-Consulting.pdf,"Submission by Concordia Consulting, March 2023PDF","Concor dia sent its submission to the Global Digital Compact on March 20th. The final draft of the document was sent to the International Digital Compact. There are commitments/pledges regarding the development of AI systems. There is a workshop/confrence agenda item: Developing a joint understanding of global AI and developing solutions to prevent future catastrophes. There will be a conference on the topic in 2022. The OECD, UN FuturesLab, Synced Review, Concordia and Centre for Long-Term Resilience have published articles outlining types of AI and the state. Government-funded research projects should be tied to upholding these principles."
22,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_European-Union.pdf,"Submission by European Union (EU) on behalf of the EU and its 27 Member States, March 2023PDF","The European Union will submit a contribution to the Global Digital Compact by March 2023. 2.7 billion people in the world do not have access to the Internet. The European Union’s Digital Services Act and Digital Markets Act aim to create a safer digital space. The EU will continue to support the deployment of Gigabit and 5G networks through the Connecting Europe Facility (CEF Digital) with a budget of €2.1 billion over 7 years. In line with its Global Gateway initiative, the EU invests in the digital world to promote peace, peace, and sustainable development. The European Declaration for the Future of the Internet promotes a human rights-based approach to a free, open, global, intero perable, reliable, and secure Internet. EU will pay particular attention to human rights defenders, women, LGBTI rights defenders and de fenders of land, environmental and indigenous peoples’ rights. Several EU laws have been adopted in the last decade to make the EU more digitally accessible for persons with disabilities. EU wants AI to be trustworthy, transparent and accountable. AI Act will be implemented by the Commission and Member States on 28 September 2022."
23,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_G3ict.pdf,"Submission by Global Initiative for Inclusive Information and Communication Technologies (G3ict), March 2023PDF","The Global Digital Compact is Benchmarking Progress of Countries in Implementing Digital Accessibility for Persons with Disabilities for 2020. Northern America and Europe are the top-performing regions, followed by the Middle East and North Africa and Latin America and the Caribbean. The index looks at the actual digital accessibility outcomes for persons with disabilities in 10 areas of digital products and services for people with disabilities. The average score is 20%, according to the second edition of the index. The Marrakesh Treaty Ratification is a copyright treaty that facilitates access to published works for persons who are blind, visually impaired or with print disabilities. Only 38% of countries have accessibility courses available at major universities or offered by professional educational services. 51% do not have a policy in place for the implementation of ICT accessibility in the ten ICT sectors. The most advanced sectors include TV, e-books and e-government and smart cities. The average global average is 51% of people with access to ICTs, while 49% of the population is non-pWDs. The regions with better performance are South Asia, the Middle East, North Africa and East Asia and Pacific."
24,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_South_School_on_Internet_Governance.pdf,"Submission by the South School on Internet Governance, March 2023PDF","The South School on Internet Governance has contributed to the Global Digital Compact. The contribution was prepared through an online process of consultation and community drafting. The task is to connect everyone to the Internet, avoid Internet fragmentation, protect data, apply human rights online, introduce accountability criteria for discrimination and misleading content, promote the regulation of artificial intelligence, and promote the digital commons as a global public good. SSIG's mission is to increase presentativeness of the Internet in the Latin American and Caribbean region and to train new leaders of Internet governance. There is a compromise agreement on what to do with the Internet and Inteligencia artificial. LosEstados debe garantizar el derecho a la no discriminación digital and a recibir información veraz. Internet should be used to promote the right use of the correct uso and beneficial to the comunidad. It's important to establish a culture of respect for the human rights of the cidadão. There will be a need to be more regulations."
25,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Southern_Alliance.pdf,"Submission from the Southern Alliance, March 2023PDF","In the beginning of 2023, a new alliance was formed by five NGOs- Data Privacy Brasil, InternetBolivia, KICTANet (Kenya), and Paradigm Initiative (Nigeria). Its main focus is the Global Digital Compact, which seeks to promote and protect human rights in the digital age. Nearly half of the world's population has no Internet access. For international organizations, meaningful connectivity to the Internet must be included as a core and structural policy. Specific funding should become available for less-developed States to close the digital divide."
26,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Open-Data-Charter.pdf,"Submission from the Open Data Charter, March 2023PDF",There is a lot of information to read in this article. The Newsquiz has been the focus of the article in the past two weeks. The article has been amended to reflect the fact that the Newsquizz has been published. There are 9 U.S. digits in U.N. and  G D P R and E U.R. The answers are written in 3-5 and the index is written in 1-3 and 2: 3: 5: 5.
27,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_ITUC.pdf,"Submission by the International Trade Union Confederation (ITUC), March 2023PDF","The International Trade Union Confederation represents 200 million workers in 168 countries and territories. They call on governments and international institutions to put in place proactive digitalisation policies and strategies including for improving access to public services. They also call for large tech monopolies to be broken up to ensure fair competition and an end to monopoly power. They oppose any liberalisation of international digital trade that could prevent States from regulating the social and fiscal practices of digital operators. They demand that regulatory frameworks ensure decent working conditions for remote workers, and prohibit intrusive surveillance of workers."
28,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Google.pdf,"Submission by Google, March 2023PDF","The Summit of the Future is taking place in the United States and Canada. Google is investing billions of dollars each year to develop new technologies. Google's business, products, and technology have long had implications for the advancement of the internet and human rights. There is a need to bridge the divide between the digital divide and inequalities of the world. By2030, digitaltransformation could generate as much as $3.4trillion of economic value in emerging markets. There are more than 20 countries that can benefit from AI.  AI is a key strategy for the organization for economic cooperation and development. Google wants to be a global company with AI in the near future. Google's Jigsaw team is developing new approaches to protect the integrity of the internet. Google is an active member of the Global Initiative Network, GlobalPrinciples on Digital Safety, Inaddition, the European Union's Code of Practice on Disinformation, and Christchurch's Community of Christchurch. Google will help the world transition to sustainable energy systems and help the environment."
29,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Future_Earth.pdf,"Submission by Future Earth, March 2023PDF","Future Earth is a global network of scientists, researchers, and innovators collaborating for a more sustainable planet. Its mission is to advance research in support of transformations to global sustainability. Its vision is of a sustainable and equitable world for all, where societal decisions are informed by openly-accessible and shared knowledge. It is also the vision of the Coalition for Digital Environmental Sustainability's Action Plan for a Sustainable Planet in the Digital Age. It was developed by UN, UN, Development Programme, the International Science Council, the German Environment Agency, the Kenyan Ministry of Environment and Forestry, and over a 1,000 stakeholders. The D2S Agenda was launched in 2020. The Global Digital Compact (GDC) should include environmental sustainability as a key requirement in the development of principles for an open, free, and secure digital future for all for all. They call for a specific thematic session at the GDC discussions at the Summit of the Future dedicated to the interrelated issues of climate change and biodiversity conservation. They urge Member States, the Office of the Secretary General’s Envoy on Technology, and other key actors to ensure that environmental sustainability remains an essential consideration in the GDP."
30,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_ART-AI_University-of-Bath.pdf,"Submission by ART-AI / University of Bath, March 2023PDF","The report is entitled ART-AI submission to the Global Digital Compact. The submission focuses on the theme of promoting regulation of artificial intelligence. The UN has an important role to play in facilitating global cooperation on AI regulation. The European single market should be the focus of AI regulation and the AI Act would protect human rights. There is a debate in AI regulatory policy around how best to address different sectoral needs. In the public sector, AI systems are often procured from, and developed by, private companies. There is growing evidence that the use of AI in public service delivery can cause serious harm and often lacks safeguards and mechanisms for accountability. The current state of licensing for most open-sourced AI models is dominated by permissive software licences such as Apache 2.0 or MIT and open data licences. Responsible AI Licences or RAILs are a special type of licence that acts as a contract agreement between developers and downstream users who want full access to a model. The UN has an important role in AI governance and cooperation at the global level."
31,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Future-of-Life-Institute.pdf,"Submission by the Future of Life Institute, March 2023PDF",The Future of Life Institute sent feedback on the Global Digital Compact to the UN Secretary-General’s Envoy on Technology Dr. Amandeep Singh Gill. FLI created one of the earliest sets of AI governance tools - the Asilomar Artificial Intelligence (AI) principles. They recommend the implementation of an effective risk management system to prevent harms. The European Union's proposed AI Act has the potential to become the most comprehensive AI law. The UN needs stakeholders in the AI lifecycle to help humanity achieve each of the UN's 17 sustainable development goals by 2030.
32,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Internet-Society-Youth-Standing-Group.pdf,"Submission by Internet Society Youth Standing Group, March 2023PDF","This document has been developed by Bahizire, Connie, Man, Santana, Jauhar, Selby, Mbodou, Amessinou, and Veronica. It is available on the Global.com and on the.internetsociety.com. In September, the secretary-general of the United Nations will publish the report “Our Common Agenda” to set the actions to implement the agenda. The Youth Standing project was launched in February 2016. It aims to foster new and sustainable collaborations with the group. It was attended by 120 young people from Brazil and Latin America and the Caribbean. The UN promotes recommendations to improve the quality of the Internet and promote the use of it. The Internet should be more open, transparent, transparent and open. The issue of dataprivacy and security in the digital world is critical. It's important to promote digital literacy, education, and the protection of privacy. There has been no universal consensus on the right to access the Internet, but some countries have included rights to access it. There is also an increase in the safety of the internet. There are also issues of discrimination, discrimination and misinformed information on the internet users. It's necessary to use AI to prevent discrimination, promote international cooperation and promote greater international cooperation. The youth has the right to not develop within a closed-minded and limited model of the Digital Commons. The UN system and Member States should promote better access to technology, education, technology and infrastructure for young people. Governments should set up regulations that help the growth of digital infrastructure in underdeveloped areas. Companies should focus on investing in renewable energy, green bonds, greenbonds, and digital technology to protect the environment."
33,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Binary.pdf,"Submission by the Binary, April 2023PDF","Binary's submission to the Global Digital Compact is aimed at setting a Human Rights Compliant Legal Framework for the Use of Spyware. In 2021, 50,000 people had been targeted with spyware. Poland, Hungary, Gr ece and Cyprus have used Pegasus spyware against journalists, politicians, law enforcement officials, diplomats, lawyers, and civil society actors. The right to privacy functions as a gateway right protecting and many other rights and freedoms. There should be an immediate moratorium on the export, sale, transfer, use or sale of privately developed surveillance tools until a human rights-compliant regime is in place. States should develop and implement national action plans based on human rights."
34,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Digital-Empowerment-Foundation.pdf,"Submission by the Digital Empowerment Foundation, April 2023PDF","The consultation organised by Digital Empowement Founda was held in New Delhi on March 06, 2023. Participants discussed the core principles involved in each thematic area of the United Nation’s Global Digital Compact. They also discussed the key commitments that the government, private sector and civil society should adhere to for improving digital coordination while leaving no voice behind. The discussion highlighted the challenges of poverty and literacy in rural areas, leading to both limited human rights and digital fraud. According to the ITU, 2.9 billion people still do not have access to the internet."
35,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_ETNO.pdf,"Submission by the European Telecommunications Network Operators’ Association (ETNO), April 2023PDF","The European Telecommunications Network Operators’ Association (ETNO) supports the Global Digital Compact. ETNO members represent over 68% of the investment into Europe’s telecoms networks. Orange, Telefónica and ENO members take the commitment to the open internet seriously. They are opposed to government-mandated internet shutdowns and restrictions to internet access must be firmly grounded in international law and have a legitimate legal basis. The OECD countries recently adopted the first intergovernmental agreement on common approaches to safeguarding human rights and freedoms."
36,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_Digital-National-Alliance-Bulgaria.pdf,"Submission by the Digital National Alliance Bulgaria, April 2023PDF","On 09.03.2023, Dr. Monika Manolova hosted a meeting in Bulgaria to discuss the topic of ‘Digital Literacy: the Great Divide’ and ‘Dawning of a New Age of Digital Societies’ The topic was discussed on issue 1: Improvement of digital literacy to prevent further class divisions of societies within Europe and globally. Issue 3: Tackling democratization of digital innovations as a public good. Issue 4: Ensuring digital inclusion for all, including the most vulnerable. The EU AI Act is only one approach to look at the impact of AI systems. AI in agriculture offers the potential to feed an ever-growing global population and contribute to the UN Sustainable Development Goals. Companies should be encouraged to introduce technological innovations (precision agriculture). Special attention should be directed towards technological innovations for small farms. The global investment in AI has reportedly reached US$60 billion in 2020 and is projected to more than double by 2025. The UN Digital Compact Consultation (09.03.2023) is taking place in the UAE."
37,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_UNU-Macau.pdf,"Submission by UNU Institute in Macau, April 2023PDF","The UNU Institute in Macau has prepared a joint submission under the topic of Human Digital Security and Development. The group is concerned about the protection of data and protection of rights of citizens as data subjects. They agree on the use of the internet as a tool to improve the environment, education and human rights. They also discuss the importance of AI regulation in the private sector and government regulation of AI systems. There is a new report on the digital commons as a global public good. There are also issues in culture, education, peace, and digital humanism."
38,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_The-E4E-Project.pdf,"Submission by the E4E Project, April 2023PDF","The GDC, W e, E4E and Sessions submitted their contributions for a one-month period to GlobalDigital.com. They had a deadline of 29.29 March. The absence of internet access in Africa is an education epidemic. The Internet should be regulated and enforced. It's a good idea to use the internet to promote human rights. ThePr otection Act will be established on Oct.15, 2021. Africa needs to focus on the needs of Pr otection, design and international cooperation."
39,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_CODES.pdf,"Submission by the Coalition for Digital Environmental Sustainability (CODES), April 2023PDF","The Action Plan for a Sustainable Planet in the Digital Age has been developed through a global consultation and co-design process by the Coalition for Digital Environmental Sustainability (CODES). It is a follow-up to the Secretary-General’s Roadmap for Digital Cooperation. The CODES Action Plan outlines 9 impact initiatives. They recommend the Global Digital Compact in 2023, the ClearingHouse for Digital and Sustainable Development and the Internet Governance Forum. 2022 is the start of the process to establish the World Commission. 2025 will be the first pilot test of the digital product economy. Somalia needs technologies to measure air, water, soil and marine pollution."
40,https://www.un.org/techenvoy/sites/www.un.org.techenvoy/files/GDC-submission_IGF-LP.pdf,"Submission by the IGF Leadership Panel, April 2023PDF","The Leadership Panel supports the Internet Governance Forum and its global, national and regional initiatives. They call for a dedicated drafting group to support the development of the Global Compact. The Global Digital Compact should focus on gender equality, inclusion and women’s rights and protection. Governments are responsible to ensure that human rights are respected, protected and promoted. The Internet fragmentation should be the focus of multistakeholder attention. Technology could be used to combat climate change, manage food and water systems, support the circular economy, and reduce e-waste."
