id,url,subconcept,concept
41,https://devinit.org/resources/county-drr-budget-tracking-kenya/,Unclassified,Unclassified
42,https://devinit.org/resources/development-actors-nexus-lessons-crises-bangladesh-cameroon-and-somalia/,Development finance to crises,Wider crisis finance
43,https://devinit.org/resources/direct-funding-to-local-and-national-responders-shows-slow-progress/,Localisation / locally-led action,Humanitarian reform
44,https://devinit.org/resources/donor-approaches-overheads-local-national-partners/,Localisation / locally-led action,Humanitarian reform
45,https://devinit.org/resources/donors-triple-nexus-lessons-sweden/,Unclassified,Wider crisis finance
46,https://devinit.org/resources/donors-triple-nexus-lessons-united-kingdom/,Unclassified,Wider crisis finance
47,https://devinit.org/resources/donors-triple-nexus/,Unclassified,Wider crisis finance
48,https://devinit.org/resources/emerging-trends-development-finance-mean-crisis-actors/,Development finance to crises,Wider crisis finance
49,https://devinit.org/resources/factsheet-key-trends-global-humanitarian-assistance-2019/,International humanitarian assistance,Humanitarian finance
50,https://devinit.org/resources/filling-the-gap-addressing-climate-driven-crises-pakistan/,Climate finance to crises; Loss and damage,Wider crisis finance
51,https://devinit.org/resources/financing-humanitarian-needs-amid-the-covid-19-pandemic/,International humanitarian assistance,Humanitarian finance
52,https://devinit.org/resources/financing-trends-crisis-affected-contexts-launch-2019-global-humanitarian-assistance-report/,International humanitarian assistance,Humanitarian finance
53,https://devinit.org/resources/food-insecurity-gap-protracted-humanitarian-crisis/,Food security,"Crisis drivers, risk and needs"
54,https://devinit.org/resources/food-insecurity-south-sudan-funding-local-actors/,Food security,"Crisis drivers, risk and needs"
55,https://devinit.org/resources/funding-for-gender-relevant-humanitarian-response/,Gender-relevant finance,Humanitarian finance
56,https://devinit.org/resources/funding-to-local-actors-syrian-refugee-response-turkiye/,Localisation / locally-led action,Humanitarian reform
57,https://devinit.org/resources/gbv-nexus-global-syria-crisis/,Gender,"Crisis drivers, risk and needs"
58,https://devinit.org/resources/global-humanitarian-assistance-report-2018/,International humanitarian assistance,Humanitarian finance
59,https://devinit.org/resources/global-humanitarian-assistance-report-2019/,International humanitarian assistance,Humanitarian finance
60,https://devinit.org/resources/global-humanitarian-assistance-report-2020-animated-summary/,International humanitarian assistance,Humanitarian finance
61,https://devinit.org/resources/global-humanitarian-assistance-report-2020/,International humanitarian assistance,Humanitarian finance
62,https://devinit.org/resources/global-humanitarian-assistance-report-2021-animated-summary/,International humanitarian assistance,Humanitarian finance
63,https://devinit.org/resources/global-humanitarian-assistance-report-2021/,International humanitarian assistance,Humanitarian finance
64,https://devinit.org/resources/global-humanitarian-assistance-report-2022/,International humanitarian assistance,Humanitarian finance
65,https://devinit.org/resources/grand-bargain-progress-report-1/,Unclassified,Unclassified
66,https://devinit.org/resources/how-can-development-actors-meet-longer-term-needs-in-crises/,Unclassified,Unclassified
67,https://devinit.org/resources/how-can-we-give-durable-support-refugees-crisis-contexts/,Development finance to crises,Wider crisis finance
68,https://devinit.org/resources/how-humanitarian-system-can-better-fund-women-led-womens-rights-organisations/,Gender-relevant finance,Humanitarian finance
69,https://devinit.org/resources/humanitarian-financing-current-global-environment/,International humanitarian assistance,Humanitarian finance
70,https://devinit.org/resources/improving-visibility-local-national-actors-humanitarian-aid-data/,Tracking funding flows,Transparency
71,https://devinit.org/resources/innovative-financing-refugee-situations/,Displacement,"Crisis drivers, risk and needs"
72,https://devinit.org/resources/international-humanitarian-assistance-donors-channels-and-recipients/,International humanitarian assistance,Humanitarian finance
73,https://devinit.org/resources/leaving-no-crisis-behind-assistance-triple-nexus-humanitarian-development-peace-funding/,Unclassified,Wider crisis finance
74,https://devinit.org/resources/multi-year-humanitarian-funding-planning-jordan-and-lebanon/,Multi-year funding,Humanitarian reform
75,https://devinit.org/resources/multi-year-humanitarian-funding/,Multi-year funding,Humanitarian reform
76,https://devinit.org/resources/overhead-cost-allocation-humanitarian-sector/,Localisation / locally-led action,Humanitarian reform
77,https://devinit.org/resources/private-funding-for-international-humanitarian-assistance/,Private finance,Humanitarian finance
78,https://devinit.org/resources/promoting-longer-term-approaches-protracted-crises-perspectives-across-nexus/,Unclassified,Wider crisis finance
79,https://devinit.org/resources/questions-considerations-donors-triple-nexus-uk-sweden/,Unclassified,Wider crisis finance
80,https://devinit.org/resources/stocktake-global-humanitarian-assistance-during-covid-19-pandemic/,International humanitarian assistance,Humanitarian finance
81,https://devinit.org/resources/supporting-grand-bargain-signatories-meeting-commitments-greater-transparency/,Unclassified,Unclassified
82,https://devinit.org/resources/supporting-longer-term-development-crises-nexus-lessons-bangladesh/,Development finance to crises,Wider crisis finance
83,https://devinit.org/resources/supporting-longer-term-development-crises-nexus-lessons-cameroon/,Development finance to crises,Wider crisis finance
84,https://devinit.org/resources/supporting-longer-term-development-crises-nexus-lessons-somalia/,Development finance to crises,Wider crisis finance
85,https://devinit.org/resources/tracking-cash-voucher-assistance/,Cash and voucher assistance,Humanitarian reform
86,https://devinit.org/resources/tracking-global-humanitarian-response-covid-19/,International humanitarian assistance,Humanitarian finance
87,https://devinit.org/resources/tracking-subnational-government-investments-climate-change-mitigation-adaptation-kenya/,Climate finance to crises,Wider crisis finance
88,https://devinit.org/resources/uganda-disaster-risk-reduction-budget-tracking-what-are-the-key-areas-of-investment/,Unclassified,Unclassified
89,https://devinit.org/resources/understanding-appeals-underfunding/,Unclassified,Unclassified
90,https://devinit.org/resources/vulnerability-resilience-somalia/,Unclassified,Unclassified
91,https://devinit.org/what-we-do/what-we-are-working-on/advancing-progress-development-humanitarian-peace-nexus/,Unclassified,Wider crisis finance
92,https://devinit.org/what-we-do/what-we-are-working-on/strengthening-knowledge-humanitarian-assistance/,International humanitarian assistance,Humanitarian finance
93,https://devinit.org/what-we-do/what-we-are-working-on/supporting-greater-transparency-humanitarian-financing/,Unclassified,Unclassified
94,https://devpolicy.org/trusting-local-responders-covid-19-frontline-funding-20230322/?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=trusting-local-responders-covid-19-frontline-funding-20230322,Unclassified,Unclassified
95,https://fortune.com/2022/10/11/ifrc-wants-to-leverage-financial-markets-world-humanitarian-crisis-nena-stoiljkovic/,Unclassified,Unclassified
96,https://igpp.org.uk/event/Working-in-Partnership-to-Meet-the-Needs-of-Refugees-and-Asylum-Seekers-2022,Unclassified,Unclassified
97,https://insights.careinternational.org.uk/publications/uk-leadership-on-gender-equality-globally-learning-from-past-lessons-on-where-the-uk-should-invest-for-women-and-girls,Unclassified,Unclassified
98,https://jhumanitarianaction.springeropen.com/articles/10.1186/s41018-021-00113-8,Unclassified,Unclassified
99,https://jhumanitarianaction.springeropen.com/articles/10.1186/s41018-022-00120-3,Unclassified,Unclassified
100,https://jhumanitarianaction.springeropen.com/articles/10.1186/s41018-022-00129-8,Unclassified,Unclassified
101,https://jhumanitarianaction.springeropen.com/articles/10.1186/s41018-022-00130-1,Unclassified,Unclassified
102,https://link.springer.com/article/10.1007/s11125-022-09609-6,Unclassified,Unclassified
103,https://link.springer.com/article/10.1007/s12134-023-01033-9,Unclassified,Unclassified
104,https://link.springer.com/article/10.1186/s41018-023-00136-3,Unclassified,Unclassified
105,https://lu.ma/tnhmay2023?utm_source=The+New+Humanitarian&amp;utm_campaign=be3e46e0a7-EMAIL_CAMPAIGN_2023_4_27&amp;utm_medium=email&amp;utm_term=0_d842d98289-be3e46e0a7-75757618,Unclassified,Unclassified
106,https://media.un.org/en/asset/k1m/k1mlkndame,Unclassified,Unclassified
107,https://news.un.org/en/story/2022/12/1131222,Unclassified,Unclassified
108,https://odi.org/en/events/beyond-neutrality-alternative-forms-of-humanitarian-action/,Unclassified,Unclassified
109,https://odi.org/en/insights/its-not-just-conflict-climate-change-is-also-a-form-of-structural-gender-based-violence/,Unclassified,Unclassified
110,https://odi.org/en/insights/two-ways-the-humanitarian-system-should-harness-global-solidarity-with-ukraine/?utm_source=ODI+updates&amp;utm_campaign=a2551f751f-EMAIL_CAMPAIGN_2022_02_18_10_58_COPY_01&amp;utm_medium=email&amp;utm_term=0_1413423dcc-a2551f751f-76673776,Unclassified,Unclassified
111,https://odi.org/en/insights/with-all-eyes-on-ukraine-is-humanitarian-support-to-the-horn-of-africa-crisis-missing-in-action/,Unclassified,Unclassified
112,https://odihpn.org/publication/humanitarian-action-is-the-answer-to-fewer-and-fewer-of-todays-humanitarian-crises/,Unclassified,Unclassified
113,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4139520,Unclassified,Unclassified
114,https://pubmed.ncbi.nlm.nih.gov/37078200/,Unclassified,Unclassified
115,https://reliefweb.int/report/world/inter-agency-humanitarian-evaluation-localisation-covid-19-response,Unclassified,Unclassified
116,https://reliefweb.int/report/world/ochas-strategic-plan-2023-2026-transforming-humanitarian-coordination,Unclassified,Unclassified
117,https://reporting.unhcr.org/ukraine-situation-rrp-summary,Unclassified,Unclassified
118,https://rightscolab.org/ringo-learning-festival-explore-the-agenda/,Unclassified,Unclassified
119,https://thenewhumanitarian.us12.list-manage.com/track/click?u=31c0c755a8105c17c23d89842&amp;id=356ef89794&amp;e=f2895deeb1,Unclassified,Unclassified
120,https://unlockaid.org/transparency/?mkt_tok=Njg1LUtCTC03NjUAAAGKPAc59dw763cUVRgmNnFN0z66kmCE9nsZPw8toyiE6osFsJoTy3ag8LRj6FoEKK7b8UlHFUcv-tUMQpXm1wyLmf7zOE8YLKuk2CLI2z2iERzLIA,Unclassified,Unclassified
121,https://unstats.un.org/unsd/undataforum/blog/putting-needs-first-making-effective-use-of-data-and-analysis-for/,Unclassified,Unclassified
122,https://warwick.ac.uk/fac/soc/pais/research/projects/internationalrelationssecurity/dataanddisplacement/data-displacement,Unclassified,Unclassified
123,https://www.aa.com.tr/tr/gundem/turkiye-en-cok-insani-yardim-yapan-ulke-siralamasinda-zirvedeki-yerini-korudu/2646685,Unclassified,Unclassified
124,https://www.auswaertiges-amt.de/en/newsroom/news/g7-anticipatory-action/2531236,Unclassified,Unclassified
125,https://www.bbc.co.uk/programmes/w3ct32s5,Unclassified,Unclassified
126,https://www.bond.org.uk/news/2023/03/one-month-on-since-the-devastating-earthquakes-hit-turkiye-and-syria-local-organisations-have-been-strengthening-the-case-for-unrestricted-flexible-funding/,Unclassified,Unclassified
127,https://www.britishexpertise.org,Unclassified,Unclassified
128,https://www.cgdev.org/blog/good-idea-executed-badly-why-world-bank-should-not-renew-pandemic-emergency-facility-insurance,Unclassified,Unclassified
129,https://www.cgdev.org/blog/usaid-localization-numbers,Unclassified,Unclassified
130,https://www.cgdev.org/rethinkinghumanitarianism,Unclassified,Unclassified
131,https://www.charitywatch.org/charity-donating-articles/busting-the-myths-of-the-overhead-myth,Unclassified,Unclassified
132,https://www.chathamhouse.org/2022/08/conflict-fragility-and-multilateral-climate-funds,Unclassified,Unclassified
133,https://www.crowdcast.io/e/innovative-crisis-financing,Unclassified,Unclassified
134,https://www.csrf-southsudan.org/repository/community-engagement-and-inter-agency-collaboration-across-the-humanitarian-development-peace-hdp-nexus-in-south-sudan/,Unclassified,Unclassified
135,https://www.csrf-southsudan.org/repository/the-humanitarian-development-peace-nexus-recipes-for-success-from-the-field-time-for-action/,Unclassified,Unclassified
136,https://www.csrf-southsudan.org/repository/towards-a-conflict-sensitive-hdp-nexus-in-south-sudan-a-collection-of-lessons/,Unclassified,Unclassified
137,https://www.devex.com/news/a-platform-that-began-as-a-wedding-registry-for-aid-goes-global-104703?access_key=&amp;utm_source=nl_newswire&amp;utm_medium=email&amp;utm_term=article&amp;utm_content=cta&amp;mkt_tok=Njg1LUtCTC03NjUAAAGJfXxJd6m4jx-JUkvCI6cq_AwxxzUZ91Q8IZ4UAFIOpI2C5Ip5TTr6DGs5sKQJODaI1ASi0SlcHeBQpbgnnjLnCaQnztysBev1cB12KctT8ftseHM,Unclassified,Unclassified
138,https://www.devex.com/news/donors-could-save-billions-through-localization-here-s-how-104862?access_key=&amp;utm_source=nl_invested&amp;utm_medium=email&amp;utm_term=article_pro&amp;utm_content=cta&amp;mkt_tok=Njg1LUtCTC03NjUAAAGJ76RWUuqDQ6YEGKcDuGQeclUxxU7AES8Y3DVD-SEtQgBDdV-9DrLrVkz-KU8-3gBFgGKCGAC_rS9UnRU3oMojV7eEjjeEGBsQCwdvHn2YEIajK18,Unclassified,Unclassified
139,https://www.devex.com/news/exclusive-how-a-new-it-system-jumbled-danish-refugee-council-s-finances-103715?access_key=&amp;utm_source=nl_newswire&amp;utm_medium=email&amp;utm_term=article&amp;utm_content=cta&amp;mkt_tok=Njg1LUtCTC03NjUAAAGG38sD7DbjtkdjotysutyLP9hybdT881e0MK8IwuPR5mfmud0WxbJszNhUpCOggYDWBvfKjVC5V_3D_OpC1ikglC9b_v6VBIbq5-NXIAbJMhfEsnU,Unclassified,Unclassified
140,https://www.devex.com/news/opinion-wanted-women-s-empowerment-guidelines-to-fight-food-crisis-104255?access_key=&amp;utm_source=nl_newswire&amp;utm_medium=email&amp;utm_term=article&amp;utm_content=text&amp;mkt_tok=Njg1LUtCTC03NjUAAAGHuBe4sLYxfgavgTvDE_JdEtvYSHZPUeeOMqyJgMcFSXh6SCP2Z4U0IyUTzWMk_GyYKCD7TNLz5uTpsEhC7IjlJHsTa36UU9Er5qBJliwV8eDo91g,Unclassified,Unclassified
141,https://www.devex.com/news/the-state-of-humanitarian-aid-in-ukraine-102681,Unclassified,Unclassified
142,https://www.devex.com/news/usaid-s-humanitarian-bureau-is-under-pressure-and-overstretched-103667?access_key=&amp;utm_source=nl_newswire&amp;utm_medium=email&amp;utm_term=article&amp;utm_content=cta&amp;mkt_tok=Njg1LUtCTC03NjUAAAGHjuK9v_upZ_110mrtCl0eYPvC3Tk2A1a8UyHWtpCln1UAA4_bADGlILjLA418VhAM5_1ut_UAl5MYzxP4R1VVOrmy5KlHzSHWck3a8ww0Qjeql-A,Unclassified,Unclassified
143,https://www.devex.com/shared/xIj8Ks05,Unclassified,Unclassified
144,https://www.devinit.org/resources/data-side-leaving-no-one-behind/#note-aDCZm3WjBL,Unclassified,Unclassified
145,https://www.devinit.org/resources/filling-the-gap-addressing-climate-driven-crises-pakistan/,Unclassified,Unclassified
146,https://www.disasterprotection.org/,Unclassified,Unclassified
147,https://www.disasterprotection.org/publications-centre/funding-disasters-tracking-global-humanitarian-funding-for-response-to-natural-hazards,Unclassified,Unclassified
148,https://www.ft.com/content/498398e7-11b1-494b-9cd3-6d669dc3de33,Unclassified,Unclassified
149,https://www.gov.uk/government/news/uk-announces-humanitarian-assistance-for-150000-women-and-children-suffering-drought-and-conflict-in-ethiopia,Unclassified,Unclassified
150,https://www.icrc.org/en/document/triple-threat-climate-change-conflict-and-health-emergencies,Unclassified,Unclassified
151,https://www.idrc.co.uk/,Unclassified,Unclassified
152,https://www.linkedin.com/posts/usaid-office-of-transition-initiatives-oti-_usaids-vision-and-approach-to-localization-activity-7021121626435911680-1Tap?utm_source=share&amp;utm_medium=member_ios,Unclassified,Unclassified
153,https://www.oecd.org/dac/financing-sustainable-development/development-finance-data/databaseupdatesfordacandcrsonline.htm,Unclassified,Unclassified
154,https://www.sipri.org/publications/2022/other-publications/improving-prospects-peace-nigeria-spotlight-measurement,Unclassified,Unclassified
155,https://www.sipri.org/publications/2022/other-publications/improving-prospects-peace-nigeria-spotlight-stabilization,Unclassified,Unclassified
156,https://www.sipri.org/publications/2023/other-publications/food-insecurity-africa-drivers-and-solutions,Unclassified,Unclassified
157,https://www.taylorfrancis.com/books/oa-mono/10.4324/9781003356806/humanitarian-journalists-martin-scott-kate-wright-mel-bunce,Unclassified,Unclassified
158,https://www.taylorfrancis.com/chapters/oa-edit/10.4324/9781003023845-3/sharing-risks-proliferating-uncertainties-leigh-johnson,Unclassified,Unclassified
159,https://www.theguardian.com/commentisfree/2023/mar/21/oxfam-poverty-culture-wars-inclusive-language-charities,Unclassified,Unclassified
160,https://www.theguardian.com/environment/2022/nov/18/cop27-eu-agrees-to-loss-and-damage-fund-to-help-poor-countries-recover-from-climate-disasters,Unclassified,Unclassified
161,https://www.theguardian.com/global-development/2023/feb/07/south-sudan-failed-by-international-aid-system-as-food-crisis-intensifies,Unclassified,Unclassified
162,https://www.thenewhumanitarian.org/analysis/2022/07/25/Ukraine-aid-reform-local-donors-neutrality?utm_source=The+New+Humanitarian&amp;utm_campaign=c1effb973f-EMAIL_CAMPAIGN_2021_07_29_Weekly&amp;utm_medium=email&amp;utm_term=0_d842d98289-c1effb973f-75757618,Unclassified,Unclassified
163,https://www.thenewhumanitarian.org/analysis/2022/1/3/aid-policy-trends-to-watch-in-2022?utm_source=The+New+Humanitarian&amp;utm_campaign=335840877b-RSS_EMAIL_CAMPAIGN_ENGLISH_AID_AND_POLICY&amp;utm_medium=email&amp;utm_term=0_d842d98289-335840877b-75480341,Unclassified,Unclassified
164,https://www.thenewhumanitarian.org/analysis/2022/10/27/Syrian-refugees-Turkey-elections-Afghans-deportation,Unclassified,Unclassified
165,https://www.thenewhumanitarian.org/analysis/2023/01/03/ten-humanitarian-crises-trends-to-watch,Unclassified,Unclassified
166,https://www.thenewhumanitarian.org/analysis/2023/01/04/aid-policy-trends-to-watch-in-2023,Unclassified,Unclassified
167,https://www.thenewhumanitarian.org/analysis/2023/01/13/10-humanitarian-crises-demand-attention,Unclassified,Unclassified
168,https://www.thenewhumanitarian.org/analysis/2023/03/21/turkiye-syria-earthquake-funding-gap-emergency-aid-sector,Unclassified,Unclassified
169,https://www.thenewhumanitarian.org/content/event-friday-what-humanitarian-challenges-should-be-your-radar-2023?utm_source=The+New+Humanitarian&amp;utm_campaign=bde458adaa-10_CRISES_EVENT_2023&amp;utm_medium=email&amp;utm_term=0_d842d98289-bde458adaa-75757618,Unclassified,Unclassified
170,https://www.thenewhumanitarian.org/content/event-ukraine-beyond-what-media-coverage-crises-tells-us-about-those-we-forget?utm_source=The+New+Humanitarian&amp;utm_campaign=c2ee208ab7-UKRAINE_AND_BEYOND_2022_03_29&amp;utm_medium=email&amp;utm_term=0_d842d98289-c2ee208ab7-75549689,Unclassified,Unclassified
171,https://www.thenewhumanitarian.org/maps-and-graphics/2023/01/11/aid-richest-countries-record-high-ODA?utm_source=The+New+Humanitarian&amp;utm_campaign=d1d85ee49b-EMAIL_CAMPAIGN_2023_01_13_Weekly&amp;utm_medium=email&amp;utm_term=0_d842d98289-d1d85ee49b-75603341,Unclassified,Unclassified
172,https://www.thenewhumanitarian.org/maps-and-graphics/2023/04/13/foreign-aid-OECD-figures,Unclassified,Unclassified
173,https://www.thenewhumanitarian.org/news/2022/06/24/Afghan-quake-Amhara-massacre-and-South-Asia-monsoon-Cheat-Sheet?utm_source=The+New+Humanitarian&amp;utm_campaign=b58bc03582-EMAIL_CAMPAIGN_Cheat_Sheet_24_June&amp;utm_medium=email&amp;utm_term=0_d842d98289-b58bc03582-75757618,Unclassified,Unclassified
174,https://www.thenewhumanitarian.org/news/2022/10/27/Pledge-Change-aid-reform,Unclassified,Unclassified
175,https://www.thenewhumanitarian.org/opinion/2022/08/09/Afghanistan-Taliban-war-and-poverty,Unclassified,Unclassified
176,https://www.thenewhumanitarian.org/opinion/2022/2/8/Localisation-lip-service-fixing-aid-colonial-legacy?utm_source=The+New+Humanitarian&amp;utm_campaign=fa6c7ac520-EMAIL_CAMPAIGN_2021_02_11_Weekly&amp;utm_medium=email&amp;utm_term=0_d842d98289-fa6c7ac520-75603341,Unclassified,Unclassified
177,https://www.thenewhumanitarian.org/opinion/first-person/2022/04/19/reform-humanitarian-aid-talk-communities-crisis,Unclassified,Unclassified
178,https://www.thenewhumanitarian.org/photo-feature/2023/04/11/drc-youth-ngo-providing-aid-m23-displaced?utm_source=The+New+Humanitarian&amp;utm_campaign=ea33211e06-EMAIL_CAMPAIGN_2023_4_11&amp;utm_medium=email&amp;utm_term=0_d842d98289-ea33211e06-75757618,Unclassified,Unclassified
179,https://www.thenewhumanitarian.org/podcast/2022/06/02/Davos-private-sector-crises-ukraine?utm_source=The+New+Humanitarian&amp;utm_campaign=d56fb5b960-EMAIL_CAMPAIGN_2021_06_02_Daily&amp;utm_medium=email&amp;utm_term=0_d842d98289-d56fb5b960-75757618,Unclassified,Unclassified
180,https://www.thenewhumanitarian.org/podcast/2022/11/30/rethinking-humanitarianism-Barbados-end-debt-climate-resilience,Unclassified,Unclassified
181,https://www.thenewhumanitarian.org/podcast/2022/12/14/aid-as-reparations,Unclassified,Unclassified
182,https://www.un.org/ecosoc/en/events/2022/humanitarian-affairs-segment,Unclassified,Unclassified
183,https://www.unocha.org/2022-global-humanitarian-policy-forum,Unclassified,Unclassified
184,https://www.unocha.org/2023gho,Unclassified,Unclassified
185,https://www.unocha.org/ecosoc-2022,Unclassified,Unclassified
186,https://www.usaid.gov/humanitarian-assistance/documents/bha-101infographicfy2021,Unclassified,Unclassified
187,https://www.usaid.gov/humanitarianactionpolicy,Unclassified,Unclassified
